time_ns,input_v,edge_1_time_ns,edge_2_time_ns,native_kd_hold_start_ns,native_kd_hold_end_ns,in_native_kd_hold_region,hspice_native_ibis__ku,hspice_native_ibis__kd,hspice_native_ibis__pad_v,ngspice_legacy__ku,ngspice_legacy__kd,ngspice_legacy__pad_v,ngspice_value_match_v2__ku,ngspice_value_match_v2__kd,ngspice_value_match_v2__pad_v,ngspice_two_state_directional_residual__ku,ngspice_two_state_directional_residual__kd,ngspice_two_state_directional_residual__pad_v,ngspice_two_state_directional_residual_recover_mean__ku,ngspice_two_state_directional_residual_recover_mean__kd,ngspice_two_state_directional_residual_recover_mean__pad_v,hspice_transistor_sp__pad_v
4.0005,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912509571429e-09
4.0015,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912552428571e-09
4.0025,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912595285714e-09
4.003500000000001,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912638142858e-09
4.004500000000001,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912681e-09
4.005500000000001,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912723857143e-09
4.006500000000002,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912766714286e-09
4.007500000000002,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912809571429e-09
4.008500000000002,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.234912852428571e-09
4.009500000000003,0.0,5.0005,7.0005,7.0005,9.323875235945831,0.0,0.0,1.0,1.370752e-09,0.0,1.0,1.525508089194469e-06,0.0,1.0,1.525508089194469e-06,0.001940593158953213,0.9986107960502535,0.001177226667220143,0.001940593158953213,0.9986107960502535,0.001177226667220143,6.2349128952857145e-09
