time_ns,hspice_in_dig_v,ngspice_in_dig_v,hspice_p1_v,ngspice_p1_v,hspice_p2_v,ngspice_p2_v,hspice_p3_v,ngspice_p3_v,hspice_p4_v,ngspice_p4_v
0.0,0.0,0.0,2.017194e-09,2.107820512887465e-06,2.182206e-11,3.590573490503349e-09,-1.045696e-25,-1.466670112721629e-09,-6.328737e-13,-1.220688379075798e-10
0.001,0.0,0.0,2.017194e-09,2.1078205128874617e-06,2.182206e-11,3.5905734905035656e-09,7.013561e-26,-1.466670112721444e-09,-6.328737e-13,-1.2206883790790134e-10
0.002,0.0,0.0,2.017194e-09,2.1078205128874604e-06,2.182206e-11,3.5905734905033117e-09,2.018196e-26,-1.466670112721374e-09,-6.328737e-13,-1.2206883790793856e-10
0.0052,0.0,0.0,2.017194e-09,2.1078205128874612e-06,2.182206e-11,3.5905734905038737e-09,4.696448e-26,-1.4666701127213162e-09,-6.328737e-13,-1.2206883790793135e-10
0.01544,0.0,0.0,2.017194e-09,2.107820512887464e-06,2.182206e-11,3.590573490506124e-09,2.975095e-26,-1.4666701127212122e-09,-6.328737e-13,-1.2206883790758732e-10
0.048208,0.0,0.0,2.017194e-09,2.107820512887466e-06,2.182206e-11,3.5905734905060968e-09,-5.421245e-27,-1.46667011272088e-09,-6.328737e-13,-1.2206883790789115e-10
0.1530656,0.0,0.0,2.017194e-09,2.107820512887466e-06,2.182206e-11,3.590573490506037e-09,-1.79209e-25,-1.4666701127231902e-09,-6.328737e-13,-1.2206883790789154e-10
0.4886099,0.0,0.0,2.017194e-09,2.107820512887466e-06,2.182206e-11,3.5905734905029754e-09,3.252155e-25,-1.4666701127242657e-09,-6.328737e-13,-1.220688379079869e-10
1.0,0.0,0.0,2.017194e-09,2.107820512887467e-06,2.182206e-11,3.590573490501227e-09,-1.805213e-25,-1.466670112726052e-09,-6.328737e-13,-1.220688379108165e-10
1.000197,0.1299,0.13002000000009287,2.017194e-09,2.107820512887466e-06,2.182206e-11,3.5905734905014427e-09,-1.718239e-25,-1.466670112726e-09,-6.328737e-13,-1.2206883791098886e-10
1.0008270000000001,0.54558,0.5458199999999869,2.017194e-09,2.1078205128874676e-06,2.182206e-11,3.5905734905014708e-09,-2.32548e-25,-1.466670112726055e-09,-6.328737e-13,-1.2206883791108833e-10
1.001312,0.866,0.8659199999999425,2.017194e-09,2.107820512887468e-06,2.182206e-11,3.5905734905015047e-09,-1.847722e-25,-1.466670112726093e-09,-6.328737e-13,-1.2206883791118555e-10
1.002089,1.378672,1.3787400000001138,1.698978e-05,2.1078205128874684e-06,-6.785125e-09,3.590573490501567e-09,5.780316e-08,-1.4666701127260793e-09,1.164805e-07,-1.220688379112869e-10
1.004575,3.019222,3.0195000000000043,0.0001443133,2.107820512887469e-06,-5.751001e-08,3.590573490501581e-09,4.668752e-07,-1.4666701127260638e-09,9.52066e-07,-1.2206883791139563e-10
1.005,3.3,3.3,0.0001806092,2.107820512887469e-06,-7.193397e-08,3.590573490501565e-09,5.806482e-07,-1.466670112726067e-09,1.185858e-06,-1.220688379113951e-10
1.0050270000000001,3.3,3.3,0.0001830194,2.107820512887469e-06,-7.289086e-08,3.590573490501631e-09,5.881378e-07,-1.466670112726064e-09,1.201281e-06,-1.2206883791140923e-10
1.005061,3.3,3.3,0.0001861157,2.107820512887469e-06,-7.412005e-08,3.590573490501713e-09,5.97753e-07,-1.4666701127260603e-09,1.221085e-06,-1.2206883791142704e-10
1.005169,3.3,3.3,0.0001961951,2.107820512887469e-06,-7.812011e-08,3.5905734905019758e-09,6.289666e-07,-1.4666701127260483e-09,1.285415e-06,-1.2206883791148357e-10
1.0055180000000001,3.3,3.3,0.0002301894,2.1078205128874697e-06,-9.159532e-08,3.5905734905020663e-09,7.332829e-07,-1.4666701127260363e-09,1.500885e-06,-1.220688379114712e-10
1.0066320000000002,3.3,3.3,0.0003563686,2.107820512887471e-06,-1.41381e-07,3.590573490501674e-09,1.108616e-06,-1.466670112726085e-09,2.281981e-06,-1.2206883791155135e-10
1.010199,3.3,3.3,0.0007944016,2.107820512887472e-06,-3.085358e-07,3.59057349050178e-09,2.206322e-06,-1.4666701127260967e-09,4.664675e-06,-1.2206883791165991e-10
1.021614,3.3,3.3,0.001646961,0.042723939531872215,-5.202899e-07,-9.877028498116325e-05,2.450278e-06,-3.255097966506529e-05,6.049923e-06,0.00027956993015033026
1.049914,3.3,3.3,0.001576538,0.012693958603166982,1.938697e-07,6.594096585694132e-05,-2.810958e-06,6.74031853570769e-08,-4.621047e-06,-0.0002700200857748861
1.083247,3.3,3.3,0.000781235,0.0038450757986964136,7.61665e-07,4.142931796538929e-06,-2.391065e-06,1.9088839905090513e-05,-6.834987e-06,2.4640368105131444e-05
1.1165800000000001,3.3,3.3,0.0005749641,0.0020247093531891064,-6.277572e-08,-3.659079168190466e-05,2.708426e-06,6.443590143510747e-06,3.524971e-06,0.0001585314474549364
1.149914,3.3,3.3,0.0005571963,0.0012590824776653993,-8.601904e-07,-2.0048428456837743e-05,3.049891e-06,-1.4925818671011769e-05,7.757006e-06,4.3055289243111504e-05
1.1832470000000002,3.3,3.3,0.000418584,0.0004323622943487106,-4.499957e-07,1.1009420676738794e-05,-7.624542e-07,-1.9853471876642196e-05,1.673119e-06,-9.379598560305819e-05
1.21658,3.3,3.3,0.0002105721,-0.00013174994101991655,5.554517e-07,1.8183178972569327e-05,-3.157873e-06,-5.3110379348424575e-06,-5.523472e-06,-9.62589682771341e-05
1.249914,3.3,3.3,9.676883e-05,-0.0002177393513682582,8.731583e-07,-1.0423508934151928e-07,-1.601843e-06,1.174796692946745e-05,-5.561608e-06,5.341660898469223e-06
1.283247,3.3,3.3,9.65735e-05,-0.00017124653424999551,1.888616e-07,-1.88669387155557e-05,1.558181e-06,1.4621303668929388e-05,4.675326e-07,8.49000696073946e-05
1.31658,3.3,3.3,-0.0003861801,-0.0005725171090137142,-5.252231e-07,-1.6996898703411634e-05,2.323029e-06,2.7295853269206926e-06,4.295656e-06,6.533828503579998e-05
1.349914,3.3,3.3,-0.0008804193,-0.0015632984961953594,-6.344384e-07,9.012028693860572e-07,1.595242e-06,-1.0700759955711358e-05,5.249487e-06,-1.3305187489331595e-05
1.3832470000000001,3.3,3.3,-0.001045659,-0.0018045062113403146,-1.816291e-08,1.447330678749764e-05,-3.313372e-07,-1.4261875863554169e-05,2.098856e-06,-6.562855541719944e-05
1.4165800000000002,3.3,3.3,-0.001386826,-0.0014008441227695296,9.411373e-07,1.0559723252508722e-05,-2.637618e-06,-6.9410688940102935e-06,-4.410525e-06,-5.013819080675716e-05
1.4499140000000001,3.3,3.3,-0.001526601,-0.000645890040102382,1.090014e-06,-7.894762781445765e-06,-1.728648e-06,1.7988803816515834e-06,-5.199828e-06,9.294181120985476e-06
1.4832470000000002,3.3,3.3,-0.001531154,-0.00022785235283510758,1.800818e-07,-2.3492038057663027e-05,5.731387e-07,2.923964821338022e-06,-9.523161e-07,4.990959298799644e-05
1.51658,3.3,3.3,-0.001628522,-0.0007241652964189902,-9.21311e-07,-2.1429619741714518e-05,1.69594e-06,-3.2733978754079017e-06,3.259443e-06,3.582689353050306e-05
1.549914,3.3,3.3,-0.001809847,-0.00186635392555316,-1.200123e-06,-2.6929032835695194e-06,1.109913e-06,-8.285194462447746e-06,4.16095e-06,-1.1698671684781287e-05
1.583247,3.3,3.3,-0.002135977,-0.0028494263788892997,-2.563655e-07,1.8899627871674445e-05,-4.466919e-07,-3.6487237762095112e-06,9.828514e-07,-4.361522175816709e-05
1.61658,3.3,3.3,-0.00254239,-0.003146612889064912,1.353915e-06,3.0287171439232117e-05,-1.037274e-06,1.1730692603628202e-05,-2.842483e-06,-3.296620397517502e-05
1.6499139999999999,3.3,3.3,-0.00290168,-0.0026535660904821188,2.682847e-06,2.8817393310001266e-05,2.78383e-07,3.0949874100276255e-05,-3.781935e-06,7.351912257493673e-06
1.683247,3.3,3.3,-0.003292695,-0.00205840351656849,3.277337e-06,2.3998533884328165e-05,2.485634e-06,4.525046027783042e-05,-1.956741e-06,3.8131289060679796e-05
1.71658,3.3,3.3,-0.003949535,-0.0022386666470067206,3.425956e-06,2.7568073077062103e-05,4.167092e-06,4.990887677426798e-05,3.619015e-07,3.302880030703317e-05
1.749914,3.3,3.3,-0.004886724,-0.003461306989872893,3.730196e-06,4.41389725111682e-05,4.864265e-06,4.525308908955583e-05,1.761206e-06,-2.8678105464206393e-06
1.783247,3.3,3.3,-0.006177737,-0.005562244736553552,4.734815e-06,6.860870233417338e-05,4.159419e-06,3.3634918936422206e-05,6.728801e-07,-4.087622109282319e-05
1.8165799999999999,3.3,3.3,-0.008062402,-0.007765496973847196,6.506341e-06,9.05701588159332e-05,2.274601e-06,1.5055082773029225e-05,-2.776679e-06,-5.27247042879194e-05
1.8499139999999998,3.3,3.3,-0.01086277,-0.010495555164762766,8.468087e-06,0.00010412164943711285,2.541443e-08,-1.2009646266831447e-05,-6.121407e-06,-3.516197488695597e-05
1.883247,3.3,3.3,-0.01409694,-0.01258871230706619,9.586245e-06,0.00010285060730707538,-1.410632e-06,-4.980900438617217e-05,-4.848167e-06,1.5333933573309527e-05
1.91658,3.3,3.3,-0.01420849,-0.01231296269667171,8.773047e-06,8.910465379260995e-05,-7.842871e-07,-9.58875016732376e-05,6.473411e-06,7.486963093953824e-05
1.949914,3.3,3.3,-0.01177405,-0.010125918072141008,7.649406e-06,7.664369130867964e-05,-8.063256e-06,-0.00013812735506925505,4.554094e-06,8.664725626297926e-05
1.983247,3.3,3.3,-0.009852629,-0.008088778227719027,7.028976e-06,6.163130755268619e-05,-1.937032e-05,-0.0001591102205540171,-1.157928e-05,6.416195171362217e-05
2.0165800000000003,3.3,3.3,-0.007836505,-0.006555141796074137,4.182287e-06,3.72607532809087e-05,-1.9452e-05,-0.00014802989473533033,-1.062019e-05,1.8813216345966255e-05
2.0499140000000002,3.3,3.3,-0.004368163,-0.004087428757033956,-2.023745e-06,-4.293254473732171e-08,-1.212228e-05,-0.00010355201712016707,6.73893e-06,-4.662521054579672e-05
2.083247,3.3,3.3,0.0003024529,-0.0005630918424916491,-9.007793e-06,-4.2255123804569537e-05,-1.008776e-05,-3.012130083191699e-05,1.234166e-05,-0.00014004846878472286
2.1165800000000004,3.3,3.3,0.004759696,0.0036224160463564485,-1.44097e-05,-8.865430185238775e-05,-1.428814e-05,6.285317349000489e-05,-5.854893e-06,-0.00020641262398727074
2.1499140000000003,3.3,3.3,0.009373227,0.00882130807011738,-1.975031e-05,-0.00014156078061047607,-1.252026e-05,0.00015936821776318946,-2.507883e-05,-0.00017556194760973628
2.183247,3.3,3.3,0.01435568,0.014201568248244915,-2.748129e-05,-0.00019537490552594877,-1.29355e-06,0.00024042691439250582,-2.780858e-05,-3.505319091557669e-05
2.21658,3.3,3.3,0.01946605,0.01953704025306881,-3.775576e-05,-0.00024500362067317257,1.379296e-05,0.0002872363870878551,-1.385824e-05,0.0001769174557637376
2.249914,3.3,3.3,0.02454261,0.024503245740196824,-4.822498e-05,-0.0002821140678320611,2.528225e-05,0.0002865216212903559,5.688088e-06,0.00036284926779880944
2.283247,3.3,3.3,0.02937987,0.028617815679255473,-5.600253e-05,-0.00029898424886015164,2.875912e-05,0.0002340462981424422,1.795869e-05,0.00041366287740227646
2.31658,3.3,3.3,0.03398357,0.03267054204779227,-6.007418e-05,-0.000296770148650544,2.547815e-05,0.00013401020965917668,1.923403e-05,0.000283823450366699
2.3499139999999996,3.3,3.3,0.03850572,0.036922769819552885,-6.179967e-05,-0.0002768469521891166,1.884856e-05,-1.6791351313097297e-06,1.395667e-05,-6.898659019780238e-07
2.383247,3.3,3.3,0.042213,0.0402855687081809,-6.317065e-05,-0.00023772116310525246,9.388721e-06,-0.00015501424157027705,5.25539e-06,-0.0003448432453369147
2.4165799999999997,3.3,3.3,0.04537534,0.0437369963956547,-6.561145e-05,-0.00018642138158835245,-1.942483e-06,-0.0003059481530511737,-3.126445e-07,-0.0005810433379517645
2.4499139999999997,3.3,3.3,0.04705278,0.04645795442979021,-6.808121e-05,-0.00011545694175184238,-1.94745e-05,-0.0004303649680654443,-8.869243e-06,-0.0006121146266395663
2.483247,3.3,3.3,0.0484604,0.04603561648399711,-6.906782e-05,-2.4830985538342644e-05,-3.978576e-05,-0.000501358525781015,-1.477921e-05,-0.00038998047216378664
2.510144,3.3,3.3,0.05264321,0.05006275735876963,-6.828937e-05,4.473591586379481e-05,-5.391018e-05,-0.0005103968859836537,-1.0126e-05,-2.425672669222169e-05
2.5217470000000004,3.3,3.3,0.05526132,0.05208370213940922,-6.708202e-05,8.027214751866592e-05,-6.134468e-05,-0.0004979534967985422,-1.024145e-05,0.00013790239364061532
2.531029,3.3,3.3,0.05744789,0.053803058809300024,-6.553842e-05,0.00010987207021707347,-6.813972e-05,-0.0004803467189065301,-1.277735e-05,0.0002657441354650071
2.560731,3.3,3.3,0.06463466,0.05978522112342533,-5.831173e-05,0.0002054637588503128,-8.464909e-05,-0.00037784155497530954,-2.001108e-05,0.0006268043016287691
2.570219,3.3,3.3,0.06710419,0.06187015816207741,-5.558166e-05,0.00023379720679066028,-8.65615e-05,-0.00033103089692530704,-1.897617e-05,0.0007176976774872278
2.5854000000000004,3.3,3.3,0.07157833,0.06524202442073443,-5.154802e-05,0.00027645846420710585,-8.394209e-05,-0.0002437835253260255,-9.090474e-06,0.0008212845531609724
2.595735,3.3,3.3,0.07482965,0.06804556471673462,-4.908012e-05,0.000301165244300796,-7.90804e-05,-0.00017723757635390157,1.783075e-06,0.0008636935560982598
2.628806,3.3,3.3,0.08609299,0.0779410083356007,-4.221485e-05,0.0003610995371794044,-5.204806e-05,6.177196939458276e-05,4.549537e-05,0.0007946043994588545
2.6621390000000003,3.3,3.3,0.09925767,0.0890547160483951,-3.476365e-05,0.0003923913576033646,-1.296819e-05,0.00031051139735927203,8.317372e-05,0.00041143335955322503
2.6954730000000002,3.3,3.3,0.1139603,0.10083333335415426,-2.279613e-05,0.00040054799543716543,3.057668e-05,0.0005251582458584447,8.644223e-05,-0.0001869979202506636
2.728806,3.3,3.3,0.1314207,0.11552184034022217,-4.392288e-06,0.00037470202512425243,8.174428e-05,0.0006683500915887762,5.930317e-05,-0.0007459513601304528
2.762139,3.3,3.3,0.1515326,0.13288475293994184,2.066191e-05,0.0003210094273876127,0.0001396598,0.0007138935214562607,1.817512e-05,-0.0010684144978887757
2.7954730000000003,3.3,3.3,0.1721316,0.1495387267798826,5.245519e-05,0.00024256557796609502,0.0001980739,0.0006499996078247808,-1.524263e-05,-0.0010178259552878113
2.8288059999999997,3.3,3.3,0.1974148,0.16881023070180964,9.051687e-05,0.00012452452256724107,0.0002535558,0.00047234302925827,-3.756829e-06,-0.0005359393779286312
2.862139,3.3,3.3,0.230313,0.19726415905194858,0.0001389371,-1.9760554411172387e-05,0.0002787714,0.00019086966850145304,3.158864e-05,0.00019096256769824722
2.895473,3.3,3.3,0.2665901,0.2261068525468476,0.0002037144,-0.0001408542886968848,0.0002521677,-0.00014950283964883135,5.026505e-05,0.0008108951738160212
2.902841,3.3,3.3,0.2747106,0.23453022937695212,0.0002206693,-0.00017439003212369996,0.0002398243,-0.00022896726865055772,5.380495e-05,0.0009482925831262352
2.91331,3.3,3.3,0.2863107,0.2423890870651351,0.0002452854,-0.00020460267704316688,0.000221572,-0.00033867876133353324,6.098509e-05,0.0010641111189768466
2.9466430000000003,3.3,3.3,0.3378359,0.2775148371736784,0.0003247146,-0.0003365955671298635,0.0001684047,-0.0006744920729966557,0.0001481417,0.0013408548820186808
2.9722679999999997,3.3,3.3,0.3929833,0.32719020421575407,0.0003876403,-0.0004589053521169827,0.0001084843,-0.000905822456978604,0.0002271672,0.001335655274606211
3.005601,3.3,3.3,0.4746489,0.39315221452011745,0.0004767202,-0.000517693098829497,-1.75842e-05,-0.0011053714928802704,0.0002458992,0.000686425046286178
