time_ns,hspice_pad_v,ngspice_pybis_pad_v_interp,hspice_ku,ngspice_pybis_ku_interp,hspice_kd,ngspice_pybis_kd_interp
0.0,1.370752e-09,1.522407514265419e-06,0.0,0.0,1.0,1.0
0.001,1.370752e-09,1.522380540118513e-06,0.0,0.0,1.0,1.0
0.002,1.370752e-09,1.522356280426671e-06,0.0,0.0,1.0,1.0
0.0052,1.370752e-09,1.5224879637656427e-06,0.0,0.0,1.0,1.0
0.01544,1.370752e-09,1.523013775610809e-06,0.0,0.0,1.0,1.0
0.048208,1.370752e-09,1.5241580023137013e-06,0.0,0.0,1.0,1.0
0.1530656,1.370752e-09,1.5253187241350005e-06,0.0,0.0,1.0,1.0
0.4886099,1.370752e-09,1.525507736433049e-06,0.0,0.0,1.0,1.0
1.1886100000000002,1.370752e-09,1.5255080891937862e-06,0.0,0.0,1.0,1.0
1.8886100000000001,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
2.5886099999999996,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
3.28861,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
3.98861,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
4.68861,1.370752e-09,1.525508089194469e-06,0.0,0.0,1.0,1.0
5.0,1.370752e-09,1.525456140533685e-06,0.0,0.0,1.0,1.0
5.000051,1.370752e-09,1.5254532278470794e-06,0.0,0.0,1.0,1.0
5.000216,1.370752e-09,1.5254451663373495e-06,0.0,0.0,1.0,1.0
5.000342,1.370752e-09,1.5254399341959918e-06,0.0,0.0,1.0,1.0
5.000545,5.94152e-07,1.525433066174213e-06,0.0002589043,0.0,0.9997547,1.0
5.001,2.907422e-06,1.52541433834825e-06,0.0006440249,0.0,0.9993831,1.0
5.001035,3.172564e-06,1.525412656305876e-06,0.0006736487,0.0,0.9993545,1.0
5.0010449999999995,3.24929e-06,1.5254121757223406e-06,0.0006821155,0.0,0.9993464,1.0
5.001077,3.499652e-06,1.5254107545810535e-06,0.0007092092,0.0,0.9993202,1.0
5.0011790000000005,4.365793e-06,1.525407553493946e-06,0.000795909,0.0,0.9992366,1.0
5.001507,7.800637e-06,1.5253808347697498e-06,0.001073349,0.0,0.9989689,1.0
5.002556,2.551078e-05,1.5253213146554958e-06,0.001961155,0.0,0.9981123,1.0
5.005911,0.0001486883,1.5252912752499014e-06,0.004802136,0.0,0.9953712,1.0
5.016649,0.0006186296,0.00024060868738404344,0.004185237,0.003665925731417608,0.9963915,0.9978410120177756
5.026893,0.0008399005,0.00048408697532443444,0.002036787,0.002151850685167378,1.000572,1.000828351268623
5.039579,0.0008939768,0.0006239901198871136,0.001585309,0.0017965730961256882,1.000122,1.00174693988063
5.055367,0.0008891646,0.0007067009719296408,0.001311186,0.0014317926619169228,0.999148,1.0006820838242134
5.074487,0.0008310368,0.0007221587978343129,0.0009981774,0.0010685144637434811,0.9996753,1.0008711992625268
5.10782,0.0006906097,0.0006412177105778772,0.0007763174,0.000841687617717856,0.9996742,1.003005173361199
5.141153,0.0005500472,0.0005584817817445352,0.0005324155,0.0006962313809291536,0.9994714,1.0023635507183954
5.174487,0.0004175109,0.00047849880438681323,0.0003667746,0.0005782714005874342,0.9993337,1.001843216932765
5.20782,0.0003134471,0.00040090428092319817,0.0002916104,0.0004653787361029621,0.9992712,1.001345235606293
5.241153000000001,0.0002455674,0.0003244845078091677,0.0002738204,0.0003199224993141733,0.9992565,1.0007036129634892
5.274487000000001,0.0001963744,0.00024781961966912724,0.0001968353,0.0002019625189725402,0.9991925,1.000183279177858
5.3078199999999995,1.82078e-05,0.00014054737951193488,-0.0007848002,-0.0003320138527479804,0.9994464,1.001069605295015
5.341152999999999,-0.0002884965,-0.0002856703150116161,-0.001292281,-0.001311884278514235,1.000851,1.003843260562286
5.374487,-0.0005757853,-0.0005550311198431021,-0.001677444,-0.0015804447025585782,0.9995753,1.002497080238741
5.40782,-0.0008480752,-0.0007774211454026633,-0.002150209,-0.0018374683283479483,0.9991818,1.001208729027072
5.441153,-0.001049181,-0.0009720780863789659,-0.002097503,-0.0020989762414700386,1.002254,1.0027561738052748
5.474487,-0.001189221,-0.0011417445764227167,-0.002399813,-0.0023949332850860977,0.9999454,1.0023198399939979
5.50782,-0.001346311,-0.0013221961598691681,-0.002682884,-0.002687111912425908,0.9997096,1.001585172474266
5.5411529999999996,-0.001513872,-0.0015084270869864039,-0.002998748,-0.003063568644996465,0.9994465,1.0006385921698744
5.5744869999999995,-0.00171076,-0.0017004341498533212,-0.003450238,-0.0033857861141038323,1.000307,1.001476966240104
5.60782,-0.001953613,-0.0019256151477031935,-0.003979435,-0.003852216929659475,0.9996009,1.002209792711467
5.641153,-0.002226227,-0.0021827810296216285,-0.00447049,-0.0044234802516664945,0.9996016,1.0017494783762821
5.674487,-0.002516633,-0.0025176332075082784,-0.005017707,-0.005358074359231264,0.9997071,1.0022969511670938
5.70782,-0.002981038,-0.0029900947761759404,-0.006662972,-0.006340917578242435,1.001508,1.002239302270348
5.741153,-0.003646045,-0.003581931807529017,-0.007972786,-0.007942483755977904,0.9997481,1.0017027772728924
5.774487,-0.004531701,-0.004434808856293494,-0.01042978,-0.010116724098731197,1.000841,1.001488671667185
5.80782,-0.005657307,-0.005490102719558483,-0.01263714,-0.012043282893162205,1.003373,1.003178377193607
5.841153,-0.007379307,-0.007205401355506762,-0.01836958,-0.017970752253560568,1.001717,1.0020728156749805
5.874487,-0.009755916,-0.009445119812853352,-0.02295883,-0.02221839669661043,1.000784,1.002364713182273
5.90782,-0.01111205,-0.011048494844779662,-0.01928055,-0.019857355422080673,1.005403,1.006158578486266
5.941153,-0.01086655,-0.010913654636758696,-0.01635722,-0.0164566125791103,1.00162,1.0023702668677001
5.971165,-0.00998461,-0.010104270064801595,-0.0134552,-0.013605029322309961,1.001426,1.002480825138168
6.003259,-0.008636794,-0.008820144162943062,-0.01038685,-0.010777250662501141,1.001163,1.0026099676126687
6.036593,-0.006597795,-0.007001162875337648,-0.004410806,-0.005524793318559488,1.004256,1.0043719395444308
6.069926000000001,-0.003769197,-0.004278718043813397,0.00195172,5.954498547424869e-05,1.002902,1.003691042528163
6.1032589999999995,-0.000480191,-0.0010196167673511862,0.008314607,0.007672927067276753,1.001993,1.0027985385188447
6.1365929999999995,0.003223578,0.002622579302963197,0.01582234,0.014368470122933437,1.001876,1.002558599151626
