tx_rmse_v,tx_maxabs_v,rx_rmse_v,rx_maxabs_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,ngspice_tx_low_v,ngspice_tx_active_v,ngspice_tx_threshold_v,ngspice_rx_low_v,ngspice_rx_active_v,ngspice_rx_threshold_v,hspice_tx_swing_v,hspice_rx_swing_v,ngspice_tx_swing_v,ngspice_rx_swing_v,threshold_v,tx_active_rmse_v,tx_active_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,hspice_tx_rise_threshold_crossing_count,hspice_tx_fall_threshold_crossing_count,hspice_rx_rise_threshold_crossing_count,hspice_rx_fall_threshold_crossing_count,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise_threshold_crossing_count,ngspice_tx_fall_threshold_crossing_count,ngspice_rx_rise_threshold_crossing_count,ngspice_rx_fall_threshold_crossing_count,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,correlation_status,channel_id,candidate_id,candidate,preprocessing_mode,passivity_enforced,source_family,validation_split,independent_trust_class,case,edge_ps,amplitude_v,hspice_tr0,hspice_lis,ngspice_raw,ngspice_log,hspice_threshold_delay_confidence,hspice_threshold_delay_confidence_reasons,hspice_audit_class,hspice_audit_reason,rx_shape_hspice_audit_class,rx_shape_hspice_audit_reason,rx_timing_hspice_audit_class,rx_timing_hspice_audit_reason,rx_hspice_audit_class,rx_hspice_audit_reason,reflection_hspice_audit_class,reflection_hspice_audit_reason,overlay_plot
0.005219483075786746,0.0412880031643318,0.023282249751111313,0.19666711928883485,5.024248e-90,0.78339905,0.391699525,8.024863e-90,1.0223795,0.51118975,0.0,0.7494581466891982,0.3747290733445991,0.0,0.7477346002328695,0.37386730011643476,0.78339905,1.0223795,0.7494581466891982,0.7477346002328695,0.51118975,0.00817599378505233,0.0412880031643318,0.04715127710963358,0.19666711928883485,1,1,1,3,1.0025867699175792,1.3840772256317164,9.00232105774671,9.050898067201201,381.4904557141372,48.5770094544909,1,1,1,3,1.0022611512720305,1.3816014750194812,9.002063830269035,9.0033111963293,379.3403237474508,1.2473660602638947,-2.1501319666864447,-47.329643394227006,ok,Clarity_example_acf20e4a,raw_vector_3r3c_lin,vector_3r3c,raw,False,skrf_tests,calibration,PASS,audit_amp1p5_edge5_r50,5.0,1.5,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/ngspice/audit_amp1p5_edge5_r50.log,low,hspice_rx_fall_threshold_ambiguous;ngspice_rx_fall_threshold_ambiguous,FAIL,rx_active_rmse;rx_active_maxabs,FAIL,rx_active_rmse;rx_active_maxabs,WARN,rx_timing_threshold_confidence_low,FAIL,rx_active_rmse;rx_active_maxabs,PASS,reflection/TX thresholds passed,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/plots/hspice_overlays/Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge5_r50.png
0.004650889611795459,0.02053560172787031,0.012044062662261977,0.09833911188892541,5.024248e-90,0.78306435,0.391532175,8.024863e-90,0.88142995,0.440714975,0.0,0.7494400125993672,0.3747200062996836,0.0,0.7477345247779452,0.3738672623889726,0.78306435,0.88142995,0.7494400125993672,0.7477345247779452,0.440714975,0.006649356387560488,0.02053560172787031,0.023348112314136974,0.09833911188892541,1,1,1,1,1.0255066621420925,1.387711281791487,9.02292949437862,9.353125071668451,362.2046196493945,330.19557728983216,1,1,1,1,1.0235280285128878,1.391728042401773,9.021422901345764,9.368376637563355,368.2000138888851,346.9537362175901,5.995394239490622,16.75815892775796,ok,Clarity_example_acf20e4a,raw_vector_3r3c_lin,vector_3r3c,raw,False,skrf_tests,calibration,PASS,audit_amp1p5_edge50_r50,50.0,1.5,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/audit_amp1p5_edge50_r50_hspice.lis,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/ngspice/audit_amp1p5_edge50_r50.log,high,,FAIL,rx_active_rmse;rx_active_maxabs,FAIL,rx_active_rmse;rx_active_maxabs,PASS,rx timing thresholds passed,FAIL,rx_active_rmse;rx_active_maxabs,PASS,reflection/TX thresholds passed,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/plots/hspice_overlays/Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge50_r50.png
0.00377537502735838,0.006588246931834275,0.004733943765574022,0.019634684163285898,5.024248e-90,0.7799969,0.38999845,8.024863e-90,0.7456798,0.3728399,0.0,0.7494302646285413,0.37471513231427067,0.0,0.7477312225004616,0.3738656112502308,0.7799969,0.7456798,0.7494302646285413,0.7477312225004616,0.3728399,0.0038107116586001723,0.006588246931834275,0.006424750303628422,0.019634684163285898,1,1,1,1,1.2496141029903063,1.6221884617790072,9.225959991130342,9.618808111264999,372.57435878870075,392.8481201346566,1,1,1,1,1.2484988799623316,1.6053258147566714,9.22907313239376,9.606926094018025,356.8269347943397,377.85296162426533,-15.747423994361043,-14.995158510391263,ok,Clarity_example_acf20e4a,raw_vector_3r3c_lin,vector_3r3c,raw,False,skrf_tests,calibration,PASS,audit_amp1p5_edge500_r50,500.0,1.5,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/audit_amp1p5_edge500_r50_hspice.lis,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_3r3c_lin/ngspice/audit_amp1p5_edge500_r50.log,high,,PASS,thresholds passed,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/plots/hspice_overlays/Clarity_example_acf20e4a_raw_vector_3r3c_lin_audit_amp1p5_edge500_r50.png
0.009997466617926125,0.11621607381524979,0.024783250251073988,0.21054566537465125,5.024248e-90,0.78339905,0.391699525,8.024863e-90,1.0223795,0.51118975,0.0,0.7491223092605057,0.37456115463025286,0.0,0.7471225067724175,0.37356125338620877,0.78339905,1.0223795,0.7491223092605057,0.7471225067724175,0.51118975,0.019802289828821894,0.11621607381524979,0.05045201821084051,0.21054566537465125,1,1,1,3,1.0025867699175792,1.3840772256317164,9.00232105774671,9.050898067201201,381.4904557141372,48.5770094544909,1,1,1,3,1.0013759117387742,1.381655811543779,9.00125598548669,9.00291494514968,380.2798998050048,1.6589596629901697,-1.210555909132438,-46.91804979150073,ok,Clarity_example_acf20e4a,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,FAIL,audit_amp1p5_edge5_r50,5.0,1.5,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge5_r50.log,low,hspice_rx_fall_threshold_ambiguous;ngspice_rx_fall_threshold_ambiguous,FAIL,rx_active_rmse;rx_active_maxabs,FAIL,rx_active_rmse;rx_active_maxabs,WARN,rx_timing_threshold_confidence_low,FAIL,rx_active_rmse;rx_active_maxabs,PASS,reflection/TX thresholds passed,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/plots/hspice_overlays/Clarity_example_acf20e4a_raw_vector_5r5c_lin_audit_amp1p5_edge5_r50.png
0.011074362491755313,0.0949303530867528,0.012531696703262847,0.10423812527036425,5.024248e-90,0.78306435,0.391532175,8.024863e-90,0.88142995,0.440714975,0.0,0.7490753739123127,0.37453768695615636,0.0,0.747122979871412,0.373561489935706,0.78306435,0.88142995,0.7490753739123127,0.747122979871412,0.440714975,0.021935328070961522,0.0949303530867528,0.024787929666199783,0.10423812527036425,1,1,1,1,1.0255066621420925,1.387711281791487,9.02292949437862,9.353125071668451,362.2046196493945,330.19557728983216,1,1,1,1,1.0183354397648563,1.3922693396316366,9.016088311449439,9.36940604300955,373.9338998667803,353.31773156011207,11.729280217385792,23.122154270279907,ok,Clarity_example_acf20e4a,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,FAIL,audit_amp1p5_edge50_r50,50.0,1.5,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge50_r50_hspice.lis,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge50_r50.log,high,,FAIL,rx_active_rmse;rx_active_maxabs,FAIL,rx_active_rmse;rx_active_maxabs,PASS,rx timing thresholds passed,FAIL,rx_active_rmse;rx_active_maxabs,PASS,reflection/TX thresholds passed,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/plots/hspice_overlays/Clarity_example_acf20e4a_raw_vector_5r5c_lin_audit_amp1p5_edge50_r50.png
0.002411778051341582,0.008175083234193511,0.004106529109781329,0.020754405004519916,5.024248e-90,0.7799969,0.38999845,8.024863e-90,0.7456798,0.3728399,0.0,0.7490919138956249,0.37454595694781245,0.0,0.7471098462614644,0.3735549231307322,0.7799969,0.7456798,0.7490919138956249,0.7471098462614644,0.3728399,0.002914323652228344,0.008175083234193511,0.006302707238465843,0.020754405004519916,1,1,1,1,1.2496141029903063,1.6221884617790072,9.225959991130342,9.618808111264999,372.57435878870075,392.8481201346566,1,1,1,1,1.248176758939575,1.6043602757469395,9.225458158028694,9.604930436108955,356.1835168073646,379.472278080261,-16.390841981336166,-13.375842054395605,ok,Clarity_example_acf20e4a,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,FAIL,audit_amp1p5_edge500_r50,500.0,1.5,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge500_r50_hspice.lis,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/channels/Clarity_example_acf20e4a/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge500_r50.log,high,,PASS,thresholds passed,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,results/sparam_vector_fit_campaign_v2_topk_smoke_2026-06-18/plots/hspice_overlays/Clarity_example_acf20e4a_raw_vector_5r5c_lin_audit_amp1p5_edge500_r50.png
