correlation_status,correlation_error,channel_id,candidate_id,candidate,preprocessing_mode,passivity_enforced,source_family,validation_split,independent_trust_class,case,edge_ps,amplitude_v,hspice_tr0,hspice_lis,ngspice_raw,ngspice_log,hspice_audit_class,hspice_audit_reason,rx_hspice_audit_class,rx_hspice_audit_reason,reflection_hspice_audit_class,reflection_hspice_audit_reason,tx_rmse_v,tx_maxabs_v,rx_rmse_v,rx_maxabs_v,hspice_tx_low_v,hspice_tx_active_v,hspice_tx_threshold_v,hspice_rx_low_v,hspice_rx_active_v,hspice_rx_threshold_v,ngspice_tx_low_v,ngspice_tx_active_v,ngspice_tx_threshold_v,ngspice_rx_low_v,ngspice_rx_active_v,ngspice_rx_threshold_v,hspice_tx_swing_v,hspice_rx_swing_v,ngspice_tx_swing_v,ngspice_rx_swing_v,threshold_v,tx_active_rmse_v,tx_active_maxabs_v,rx_active_rmse_v,rx_active_maxabs_v,hspice_tx_rise_threshold_crossing_count,hspice_tx_fall_threshold_crossing_count,hspice_rx_rise_threshold_crossing_count,hspice_rx_fall_threshold_crossing_count,hspice_tx_rise50_ns,hspice_rx_rise50_ns,hspice_tx_fall50_ns,hspice_rx_fall50_ns,hspice_rx_minus_tx_rise50_ps,hspice_rx_minus_tx_fall50_ps,ngspice_tx_rise_threshold_crossing_count,ngspice_tx_fall_threshold_crossing_count,ngspice_rx_rise_threshold_crossing_count,ngspice_rx_fall_threshold_crossing_count,ngspice_tx_rise50_ns,ngspice_rx_rise50_ns,ngspice_tx_fall50_ns,ngspice_rx_fall50_ns,ngspice_rx_minus_tx_rise50_ps,ngspice_rx_minus_tx_fall50_ps,rx_minus_tx_rise50_ps_delta_ps,rx_minus_tx_fall50_ps_delta_ps,hspice_threshold_delay_confidence,hspice_threshold_delay_confidence_reasons,rx_shape_hspice_audit_class,rx_shape_hspice_audit_reason,rx_timing_hspice_audit_class,rx_timing_hspice_audit_reason,overlay_plot
ok,,ntwk2_e1c16499,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,WARN,audit_amp1p5_edge5_r50,5.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge5_r50.log,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_timing_threshold_confidence_low,PASS,reflection/TX thresholds passed,0.0030594974242523303,0.10722162515381473,0.0012701794563947835,0.041676983636416254,1.078149e-79,0.7834442,0.3917221,7.863326e-80,0.7131999,0.35659995,0.0,0.7857142857758898,0.3928571428879449,0.0,0.7142857140746766,0.3571428570373383,0.7834442,0.7131999,0.7857142857758898,0.7142857140746766,0.35659995,0.0063788118755886865,0.10722162515381473,0.0026082522052489863,0.041676983636416254,1,1,1,1,1.003129950041007,1.0109763419206572,9.003135472211019,9.011004158479608,7.846391879650251,7.868686268588723,3,3,1,1,1.0020741523362837,1.011688640278405,9.002114484677715,9.011662781831387,9.614487942121539,9.54829715367121,1.7680960624712876,1.6796108850824876,low,ngspice_tx_fall_threshold_ambiguous;ngspice_tx_rise_threshold_ambiguous,PASS,rx shape thresholds passed,WARN,rx_timing_threshold_confidence_low,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk2_e1c16499_raw_vector_5r5c_lin_audit_amp1p5_edge5_r50.png
ok,,ntwk2_e1c16499,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,WARN,audit_amp1p5_edge50_r50,50.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge50_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge50_r50.log,PASS,thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,0.0011212616084508742,0.008201018934340998,0.000561925529989189,0.0062980111997273935,1.078149e-79,0.7834398499999999,0.39171992499999997,7.863326e-80,0.7131978,0.3565989,0.0,0.7857142857758772,0.3928571428879386,0.0,0.7142857140743843,0.3571428570371922,0.7834398499999999,0.7131978,0.7857142857758772,0.7142857140743843,0.3565989,0.0023208196991222176,0.008201018934340998,0.0011635041991754813,0.0062980111997273935,1,1,1,1,1.0290117586131153,1.0344354080864722,9.02901021998928,9.034434328658426,5.423649473356741,5.424108669145881,1,1,1,1,1.02894096045911,1.034393382215907,9.029096056574389,9.034471007407314,5.452421756797042,5.374950832924843,0.02877228344030147,-0.04915783622103831,high,,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk2_e1c16499_raw_vector_5r5c_lin_audit_amp1p5_edge50_r50.png
ok,,ntwk2_e1c16499,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,WARN,audit_amp1p5_edge500_r50,500.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge500_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_e1c16499/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge500_r50.log,PASS,thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,0.0010791585882260508,0.0025827526650958887,0.0005173440400195725,0.0017033056727694396,1.078149e-79,0.7834253,0.39171265,7.863326e-80,0.7131901,0.35659505,0.0,0.7857142857757868,0.3928571428878934,0.0,0.7142857140717982,0.3571428570358991,0.7834253,0.7131901,0.7857142857757868,0.7142857140717982,0.35659505,0.0021890146312875357,0.0025827526650958887,0.0010499973284028464,0.0017033056727694396,1,1,1,1,1.2535566152863415,1.2591847141139678,9.253554763163205,9.259183621595978,5.628098827626293,5.628858432772325,1,1,1,1,1.2532219028066256,1.2590212969450731,9.254678530118424,9.25978822679523,5.799394138447566,5.109696676806132,0.17129531082127247,-0.5191617559661932,high,,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk2_e1c16499_raw_vector_5r5c_lin_audit_amp1p5_edge500_r50.png
ok,,ntwk3_ad74ab42,raw_vector_5r5c_log,vector_5r5c,raw,False,skrf_tests,calibration,FAIL,audit_amp1p5_edge5_r50,5.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge5_r50.log,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_timing_threshold_confidence_low,PASS,reflection/TX thresholds passed,0.00019297947242983887,0.003837499342748435,0.0009994038513424707,0.01938866034167447,1.403059e-91,0.8181955,0.40909775,0.0,0.6815702,0.3407851,0.0,0.8181818181943575,0.40909090909717877,0.0,0.681818181748538,0.340909090874269,0.8181955,0.6815702,0.8181818181943575,0.681818181748538,0.3407851,0.0003971571506112855,0.003837499342748435,0.0020794426587506594,0.01938866034167447,3,3,1,1,1.0026716289328865,1.0323043165349797,9.002634034374003,9.032344467869079,29.632687602093174,29.710433495077087,3,3,1,1,1.0022639605020829,1.033027814693132,9.002248443267117,9.032942952485955,30.76385419104912,30.69450921883757,1.1311665889559457,0.9840757237604834,low,hspice_tx_fall_threshold_ambiguous;hspice_tx_rise_threshold_ambiguous;ngspice_tx_fall_threshold_ambiguous;ngspice_tx_rise_threshold_ambiguous,PASS,rx shape thresholds passed,WARN,rx_timing_threshold_confidence_low,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk3_ad74ab42_raw_vector_5r5c_log_audit_amp1p5_edge5_r50.png
ok,,ntwk3_ad74ab42,raw_vector_5r5c_log,vector_5r5c,raw,False,skrf_tests,calibration,FAIL,audit_amp1p5_edge50_r50,50.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge50_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge50_r50.log,PASS,thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,8.882983646261719e-05,0.0016938135230757656,0.00038298549801156067,0.0077662930839682565,1.403059e-91,0.81819595,0.409097975,0.0,0.6815653,0.34078265,0.0,0.8181818181944202,0.4090909090972101,0.0,0.6818181817484941,0.34090909087424703,0.81819595,0.6815653,0.8181818181944202,0.6818181817484941,0.34078265,0.00018432148774199597,0.0016938135230757656,0.000795654531238877,0.0077662930839682565,1,1,1,1,1.046993956328257,1.0589316445181878,9.047081407267525,9.058941610605284,11.937688189930617,11.86020333775862,1,1,1,1,1.0470519611356424,1.059241010863857,9.047040500158865,9.059247020329064,12.189049728214759,12.206520170198727,0.25136153828414187,0.3463168324401078,high,,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk3_ad74ab42_raw_vector_5r5c_log_audit_amp1p5_edge50_r50.png
ok,,ntwk3_ad74ab42,raw_vector_5r5c_log,vector_5r5c,raw,False,skrf_tests,calibration,FAIL,audit_amp1p5_edge500_r50,500.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge500_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_ad74ab42/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge500_r50.log,PASS,thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,1.2150613791925652e-05,0.0001519054099724526,0.00013582083435339468,0.0007897160372483114,1.403059e-91,0.8181941,0.40909705,0.0,0.68155035,0.340775175,0.0,0.8181818181785829,0.40909090908929147,0.0,0.6818181817402669,0.34090909087013344,0.8181941,0.68155035,0.8181818181785829,0.6818181817402669,0.340775175,2.2800697655621538e-05,0.0001519054099724526,0.000274989852055917,0.0007897160372483114,1,1,1,1,1.278474490687894,1.2895713101739033,9.2784658448357,9.289539420380738,11.096819486009398,11.073575545036695,1,1,1,1,1.2784585966528013,1.289502698958496,9.278450998940663,9.28969897246706,11.044102305694468,11.247973526396054,-0.052717180314930445,0.17439798135935902,high,,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk3_ad74ab42_raw_vector_5r5c_log_audit_amp1p5_edge500_r50.png
ok,,ntwk2_24638a5f,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,WARN,audit_amp1p5_edge5_r50,5.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge5_r50.log,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_timing_threshold_confidence_low,PASS,reflection/TX thresholds passed,0.0030594974242523303,0.10722162515381473,0.0012701794563947835,0.041676983636416254,1.078149e-79,0.7834442,0.3917221,7.863326e-80,0.7131999,0.35659995,0.0,0.7857142857758898,0.3928571428879449,0.0,0.7142857140746766,0.3571428570373383,0.7834442,0.7131999,0.7857142857758898,0.7142857140746766,0.35659995,0.0063788118755886865,0.10722162515381473,0.0026082522052489863,0.041676983636416254,1,1,1,1,1.003129950041007,1.0109763419206572,9.003135472211019,9.011004158479608,7.846391879650251,7.868686268588723,3,3,1,1,1.0020741523362837,1.011688640278405,9.002114484677715,9.011662781831387,9.614487942121539,9.54829715367121,1.7680960624712876,1.6796108850824876,low,ngspice_tx_fall_threshold_ambiguous;ngspice_tx_rise_threshold_ambiguous,PASS,rx shape thresholds passed,WARN,rx_timing_threshold_confidence_low,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk2_24638a5f_raw_vector_5r5c_lin_audit_amp1p5_edge5_r50.png
ok,,ntwk2_24638a5f,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,WARN,audit_amp1p5_edge50_r50,50.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge50_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge50_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge50_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge50_r50.log,PASS,thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,0.0011212616084508742,0.008201018934340998,0.000561925529989189,0.0062980111997273935,1.078149e-79,0.7834398499999999,0.39171992499999997,7.863326e-80,0.7131978,0.3565989,0.0,0.7857142857758772,0.3928571428879386,0.0,0.7142857140743843,0.3571428570371922,0.7834398499999999,0.7131978,0.7857142857758772,0.7142857140743843,0.3565989,0.0023208196991222176,0.008201018934340998,0.0011635041991754813,0.0062980111997273935,1,1,1,1,1.0290117586131153,1.0344354080864722,9.02901021998928,9.034434328658426,5.423649473356741,5.424108669145881,1,1,1,1,1.02894096045911,1.034393382215907,9.029096056574389,9.034471007407314,5.452421756797042,5.374950832924843,0.02877228344030147,-0.04915783622103831,high,,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk2_24638a5f_raw_vector_5r5c_lin_audit_amp1p5_edge50_r50.png
ok,,ntwk2_24638a5f,raw_vector_5r5c_lin,vector_5r5c,raw,False,skrf_tests,calibration,WARN,audit_amp1p5_edge500_r50,500.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge500_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/audit_amp1p5_edge500_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge500_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk2_24638a5f/vf_hspice_audit/raw_vector_5r5c_lin/ngspice/audit_amp1p5_edge500_r50.log,PASS,thresholds passed,PASS,rx shape and timing thresholds passed,PASS,reflection/TX thresholds passed,0.0010791585882260508,0.0025827526650958887,0.0005173440400195725,0.0017033056727694396,1.078149e-79,0.7834253,0.39171265,7.863326e-80,0.7131901,0.35659505,0.0,0.7857142857757868,0.3928571428878934,0.0,0.7142857140717982,0.3571428570358991,0.7834253,0.7131901,0.7857142857757868,0.7142857140717982,0.35659505,0.0021890146312875357,0.0025827526650958887,0.0010499973284028464,0.0017033056727694396,1,1,1,1,1.2535566152863415,1.2591847141139678,9.253554763163205,9.259183621595978,5.628098827626293,5.628858432772325,1,1,1,1,1.2532219028066256,1.2590212969450731,9.254678530118424,9.25978822679523,5.799394138447566,5.109696676806132,0.17129531082127247,-0.5191617559661932,high,,PASS,rx shape thresholds passed,PASS,rx timing thresholds passed,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk2_24638a5f_raw_vector_5r5c_lin_audit_amp1p5_edge500_r50.png
ok,,ntwk3_8f8a2430,raw_vector_5r5c_log,vector_5r5c,raw,False,skrf_tests,holdout,FAIL,audit_amp1p5_edge5_r50,5.0,1.5,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_8f8a2430/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge5_r50_hspice.tr0,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_8f8a2430/vf_hspice_audit/raw_vector_5r5c_log/audit_amp1p5_edge5_r50_hspice.lis,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_8f8a2430/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge5_r50.raw,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/channels/ntwk3_8f8a2430/vf_hspice_audit/raw_vector_5r5c_log/ngspice/audit_amp1p5_edge5_r50.log,WARN,voltage_pass_threshold_delay_confidence_low,WARN,rx_timing_threshold_confidence_low,PASS,reflection/TX thresholds passed,0.00019297947242983887,0.003837499342748435,0.0009994038513424707,0.01938866034167447,1.403059e-91,0.8181955,0.40909775,0.0,0.6815702,0.3407851,0.0,0.8181818181943575,0.40909090909717877,0.0,0.681818181748538,0.340909090874269,0.8181955,0.6815702,0.8181818181943575,0.681818181748538,0.3407851,0.0003971571506112855,0.003837499342748435,0.0020794426587506594,0.01938866034167447,3,3,1,1,1.0026716289328865,1.0323043165349797,9.002634034374003,9.032344467869079,29.632687602093174,29.710433495077087,3,3,1,1,1.0022639605020829,1.033027814693132,9.002248443267117,9.032942952485955,30.76385419104912,30.69450921883757,1.1311665889559457,0.9840757237604834,low,hspice_tx_fall_threshold_ambiguous;hspice_tx_rise_threshold_ambiguous;ngspice_tx_fall_threshold_ambiguous;ngspice_tx_rise_threshold_ambiguous,PASS,rx shape thresholds passed,WARN,rx_timing_threshold_confidence_low,results/sparam_vector_fit_campaign_v1_2026-06-17_fast_overnight_v2/plots/hspice_overlays/ntwk3_8f8a2430_raw_vector_5r5c_log_audit_amp1p5_edge5_r50.png
